record	parent_name	parent_version	parent_source	name	version	source	normal_context	build_context	is_root
package				anstream	0.6.21	registry	true	false	false
package				anstyle	1.0.13	registry	true	false	false
package				anstyle-parse	0.2.7	registry	true	false	false
package				anstyle-query	1.1.5	registry	true	false	false
package				anyhow	1.0.103	registry	true	false	false
package				assert_type_match	0.1.1	registry	false	true	false
package				async-executor	1.14.0	registry	true	false	false
package				async-task	4.7.1	registry	true	false	false
package				atomic-waker	1.1.2	registry	true	false	false
package				bevy_ecs	0.18.1	registry	true	false	false
package				bevy_ecs_macros	0.18.0	registry	false	true	false
package				bevy_macro_utils	0.18.0	registry	false	true	false
package				bevy_platform	0.18.0	registry	true	false	false
package				bevy_ptr	0.18.0	registry	true	false	false
package				bevy_reflect	0.18.0	registry	true	false	false
package				bevy_reflect_derive	0.18.0	registry	false	true	false
package				bevy_tasks	0.18.0	registry	true	false	false
package				bevy_utils	0.18.0	registry	true	false	false
package				bincode	2.0.1	registry	true	false	false
package				bincode_derive	2.0.1	registry	false	true	false
package				bitflags	2.11.0	registry	true	false	false
package				block-buffer	0.10.4	registry	true	false	false
package				bumpalo	3.20.2	registry	true	false	false
package				bytes	1.11.1	registry	true	false	false
package				cc	1.2.56	registry	true	false	false
package				cfg-if	1.0.4	registry	true	false	false
package				clap	4.5.60	registry	true	false	false
package				clap_builder	4.5.60	registry	true	false	false
package				clap_derive	4.5.55	registry	false	true	false
package				clap_lex	1.0.0	registry	true	false	false
package				colorchoice	1.0.4	registry	true	false	false
package				concurrent-queue	2.5.0	registry	true	false	false
package				convert_case	0.10.0	registry	false	true	false
package				cpufeatures	0.2.17	registry	true	false	false
package				crossbeam-queue	0.3.12	registry	true	false	false
package				crossbeam-utils	0.8.21	registry	true	false	false
package				crypto-common	0.1.7	registry	true	false	false
package				derive_more	2.1.1	registry	true	false	false
package				derive_more-impl	2.1.1	registry	false	true	false
package				digest	0.10.7	registry	true	false	false
package				disqualified	1.0.0	registry	true	false	false
package				downcast-rs	2.0.2	registry	true	false	false
package				equivalent	1.0.2	registry	true	true	false
